provider_id,service,name,blurb,servicegroup,cost,duration_minutes,processing_time_minutes,finishing_time_minutes,padding_minutes,is_online_bookable,is_private,cost_and_up
10000,Hair Color,Full Color,,13334,65.0000,120,0,0,0,True,False,False
10000,Haircuts,Men's Cut,,13335,15.0000,45,0,0,0,True,False,False
10000,Haircuts,Woman's Cut,,13335,25.0000,60,0,0,0,True,False,False
1000000,Haircuts,Women's Cut,,671156,35.0000,30,0,0,0,True,False,False
1000000,Hair Color,Full Color,,671157,55.0000,120,0,0,0,True,False,False
1000000,Hair Color,Root Color,,671157,45.0000,45,0,0,0,True,False,False
1000000,Stlye,Updo,,671158,45.0000,90,0,0,0,True,False,False
1015000,My Services,Full Color,,681161,55.0000,120,0,0,0,True,False,False
1015000,My Services,Men's Cut,,681161,20.0000,45,0,0,0,True,False,False
1015000,My Services,Women's Cut,,681161,45.0000,60,0,0,0,True,False,False
1016000,My Services,Design cut,,681710,30.0000,30,0,0,0,True,False,True
1016000,My Services,Hair die/ hair cut,Client will receive a hair cut of choice and hair dyed to color choice,681710,55.0000,45,0,0,0,True,False,True
1016000,My Services,Hair/beard razor hot towel,"Client will receive a shampoo, hair cut of choice, beard trim and/or shave, hot towel facials",681710,45.0000,45,0,0,0,True,False,True
1016000,My Services,kids hair cut,12 and under,681710,15.0000,30,0,0,0,True,False,True
1016000,My Services,Men's Cut,,681710,25.0000,30,0,0,0,True,False,True
1016000,My Services,Neck Trim,,681710,10.0000,15,0,0,0,True,False,False
1016000,My Services,Razor Shave,,681710,20.0000,30,0,0,0,True,False,False
1024000,My Services,"color fill on existing tattoo, rewo",,686378,250.0000,180,0,0,0,True,False,False
1024000,My Services,"cover-up work, reworks, watercolor.",,686378,200.0000,165,0,0,0,True,False,False
1024000,My Services,small black and grey (size of palm),,686378,100.0000,60,0,0,0,True,False,False
1024000,My Services,small script (one word quote),,686378,50.0000,30,0,0,0,True,False,False
1035000,My Services,Full Color,,690735,150.0000,120,0,0,0,True,False,False
1035000,My Services,Men's Cut,,690735,30.0000,45,0,0,0,True,False,False
1035000,My Services,sew in take down,,690735,50.0000,15,0,0,0,True,False,False
1035000,My Services,Women's Cut,,690735,50.0000,60,0,0,0,True,False,False
1039000,My Services,1:1 Hands on makeup lesson,,692047,100.0000,90,0,0,0,True,False,False
1039000,My Services,Eyebrow fill-in/enhancement,,692047,20.0000,15,0,0,0,True,False,False
1039000,My Services,Full Face including Lashes,,692047,60.0000,75,0,0,0,True,False,True
1039000,My Services,Strip Lashes,,692047,20.0000,15,0,0,0,True,False,False
1051000,My MakeOvers ,On location Hair&Makeup,"Starting cost for on location (depending on location as well) starting $85 for the first hr. ""Call for consultation""",697353,85.0000,90,0,0,0,True,False,True
1051000,My MakeOvers ,Halloween Makeup (cost will vary),"Depending on the character and time 
""Cost will vary""",697353,65.0000,60,0,0,0,True,False,True
1051000,My MakeOvers ,Makeup Application,,697353,40.0000,60,0,0,0,True,False,True
